lad16cd_code,hmcts_region
E07000007,south east
E07000006,south east
E07000005,south east
E07000004,south east
E07000010,south east
E07000012,south east
E07000009,south east
E07000011,south east
E07000008,south east
E07000029,north west
E07000028,north west
E07000031,north west
E07000026,north west
E07000030,north west
E07000027,north west
E07000037,midlands
E07000039,midlands
E07000036,midlands
E07000038,midlands
E07000032,midlands
E07000033,midlands
E07000035,midlands
E07000034,midlands
E07000043,south west
E07000040,south west
E07000045,south west
E07000047,south west
E07000042,south west
E07000041,south west
E07000051,south west
E07000048,south west
E07000052,south west
E07000049,south west
E07000050,south west
E07000053,south west
E07000063,south east
E07000064,south east
E07000065,south east
E07000061,south east
E07000062,south east
E07000068,south east
E07000075,south east
E07000072,south east
E07000076,south east
E07000077,south east
E07000070,south east
E07000071,south east
E07000074,south east
E07000067,south east
E07000073,south east
E07000066,south east
E07000069,south east
E07000080,south west
E07000079,south west
E07000082,south west
E07000083,south west
E07000081,south west
E07000078,south west
E07000084,south west
E07000091,south west
E07000086,south west
E07000085,south west
E07000094,south west
E07000093,south west
E07000089,south west
E07000088,south west
E07000087,south west
E07000090,south west
E07000092,south east
E07000102,south east
E07000098,south east
E07000095,south east
E07000096,south east
E07000242,south east
E07000240,south east
E07000241,south east
E07000099,south east
E07000103,south east
E07000243,south east
E07000116,south east
E07000112,south east
E07000111,south east
E07000115,south east
E07000114,south east
E07000105,south east
E07000106,south east
E07000108,south east
E07000110,south east
E07000113,south east
E07000107,south east
E07000109,south east
E07000127,north west
E07000121,north west
E07000118,north west
E07000126,north west
E07000125,north west
E07000119,north west
E07000123,north west
E07000128,north west
E07000122,north west
E07000124,north west
E07000120,north west
E07000117,north west
E07000132,midlands
E07000134,midlands
E07000133,midlands
E07000131,midlands
E07000129,midlands
E07000130,midlands
E07000135,midlands
E07000142,midlands
E07000141,midlands
E07000140,midlands
E07000136,midlands
E07000139,midlands
E07000137,midlands
E07000138,midlands
E07000147,south east
E07000145,south east
E07000149,south east
E07000146,south east
E07000143,south east
E07000148,south east
E07000155,midlands
E07000152,midlands
E07000151,midlands
E07000156,midlands
E07000153,midlands
E07000154,midlands
E07000150,midlands
E07000168,north east
E07000169,north east
E07000163,north east
E07000166,north east
E07000165,north east
E07000167,north east
E07000164,north east
E07000171,midlands
E07000176,midlands
E07000173,midlands
E07000170,midlands
E07000175,midlands
E07000172,midlands
E07000174,midlands
E07000180,south east
E07000179,south east
E07000177,south east
E07000181,south east
E07000178,south east
E07000191,south west
E07000187,south west
E07000190,south west
E07000189,south west
E07000188,south west
E07000198,midlands
E07000196,midlands
E07000194,midlands
E07000195,midlands
E07000197,midlands
E07000193,midlands
E07000192,midlands
E07000199,midlands
E07000206,south east
E07000200,south east
E07000205,south east
E07000204,south east
E07000201,south east
E07000203,south east
E07000202,south east
E07000216,south east
E07000215,south east
E07000217,south east
E07000214,south east
E07000212,south east
E07000209,south east
E07000211,south east
E07000210,south east
E07000207,south east
E07000213,south east
E07000208,south east
E07000218,midlands
E07000220,midlands
E07000222,midlands
E07000221,midlands
E07000219,midlands
E07000224,south east
E07000223,south east
E07000225,south east
E07000228,south east
E07000227,south east
E07000229,south east
E07000226,south east
E07000235,midlands
E07000239,midlands
E07000238,midlands
E07000234,midlands
E07000237,midlands
E07000236,midlands
E09000021,london
E09000008,london
E09000006,london
E09000018,london
E09000009,london
E09000016,london
E09000017,london
E09000015,london
E09000005,london
E09000003,london
E09000022,london
E09000028,london
E09000023,london
E09000011,london
E09000004,london
E09000010,london
E09000031,london
E09000026,london
E09000029,london
E09000027,london
E09000024,london
E09000032,london
E09000013,london
E09000020,london
E09000033,london
E09000007,london
E09000030,london
E09000019,london
E09000012,london
E09000014,london
E09000025,london
E09000002,london
E09000001,london
E08000016,north east
E08000025,midlands
E08000001,north west
E08000032,north east
E08000002,north west
E08000033,north east
E08000031,midlands
E08000026,midlands
E08000017,north east
E08000027,midlands
E08000037,north east
E08000034,north east
E08000011,north west
E08000035,north east
E08000012,north west
E08000003,north west
E08000021,north east
E08000022,north east
E08000004,north west
E08000005,north west
E08000018,north east
E08000006,north west
E08000028,midlands
E08000014,north west
E08000019,north east
E08000029,midlands
E08000023,north east
E08000007,north west
E08000013,north west
E08000024,north east
E08000008,north west
E08000009,north west
E08000036,north east
E08000030,midlands
E08000010,north west
E08000015,north west
W06000011,wales
S12000041,
E06000022,south west
E06000055,south east
E06000008,north west
E06000009,north west
W06000019,wales
E06000028,south west
E06000036,south east
W06000014,wales
W06000018,wales
W06000022,wales
W06000012,wales
E06000056,south east
E06000049,north west
E06000050,north west
E06000023,south west
E06000015,midlands
E06000010,north east
E06000016,midlands
E06000018,midlands
E06000031,south east
E06000045,south west
E06000021,midlands
S12000005,
W06000003,wales
E06000047,north east
E06000019,midlands
E06000005,north east
S12000042,
S12000008,
S12000045,
S12000011,
E06000011,north east
S12000014,
S12000046,
E06000006,north west
E06000001,north east
S12000018,
E06000032,south east
E06000035,south east
W06000024,wales
E06000002,north east
S12000019,
E06000042,south east
E06000012,midlands
S12000044,
E06000013,north east
W06000013,wales
S12000024,
E06000029,south west
W06000023,wales
E06000038,south east
E06000003,north east
S12000038,
W06000016,wales
E06000017,midlands
S12000026,
E06000051,midlands
W06000004,wales
W06000010,wales
W06000005,wales
E06000039,south east
E06000033,south east
E06000025,south west
S12000029,
S12000030,
E06000004,north east
E06000030,south west
E06000020,midlands
E06000043,south east
E06000034,south east
W06000020,wales
E06000027,south west
E06000007,north west
E06000037,south east
S12000039,
S12000040,
E06000054,south west
E06000040,south east
E06000041,south east
W06000006,wales
E06000014,north east
E07000144,south east
E07000044,south west
E07000046,south west
E06000046,south west
W06000001,wales
W06000002,wales
W06000015,wales
W06000008,wales
W06000021,wales
W06000009,wales
E06000024,south west
S12000017,
S12000020,
S12000023,
S12000013,
S12000035,
S12000034,
S12000015,
S12000033,
S12000036,
S12000010,
S12000027,
S12000021,
S12000006,
E06000044,south west
E06000026,south west
S12000028,
E06000057,north east
E06000052,south west
E06000053,south west
